Rank,,Combined 20-24
1,"Columbia Law Review",100.00
2,"Harvard Law Review",97.88
3,"Stanford Law Review",93.16
4,"Yale Law Journal",79.18
5,"California Law Review",68.54
6,"University of Pennsylvania Law Review",65.34
7,"Cornell Law Review",64.66
8,"Michigan Law Review",63.22
9,"University of Chicago Law Review",59.93
10,"Virginia Law Review",59.04
11,"Duke Law Journal",58.48
12,"New York University Law Review",57.27
13,"Vanderbilt Law Review",56.28
14,"Iowa Law Review",56.19
15,"Boston University Law Review",55.93
16,"Minnesota Law Review",55.13
17,"Georgetown Law Journal",54.80
18,"Northwestern University Law Review",52.15
19,"Texas Law Review",51.33
20,"Fordham Law Review",49.19
21,"UCLA Law Review",47.75
22,"Boston College Law Review",47.52
23,"UC Davis Law Review",46.79
24,"Washington University Law Review",46.69
25,"Harvard Law Review Forum [online]",44.62
26,"Yale Law Journal Forum [online]",44.58
27,"Notre Dame Law Review",43.79
28,"Indiana Law Journal",38.40
29,"Yale Journal on Regulation",37.93
30,"Southern California Law Review",37.40
31,"George Washington Law Review",35.45
32,"University of Illinois Law Review",34.82
33,"Florida Law Review",34.53
34,"Washington Law Review",34.36
35,"Wisconsin Law Review",33.48
36,"William & Mary Law Review",33.41
37,"North Carolina Law Review",33.05
38,"Cardozo Law Review",31.87
39,"Ohio State Law Journal",31.27
40,"U.C. Irvine Law Review",29.64
41,"Supreme Court Review",28.59
42,"Emory Law Journal",27.72
43,"UC Law Journal",27.30
44,"Georgia Law Review",26.79
45,"Journal of Criminal Law and Criminology",26.41
46,"Alabama Law Review",26.27
47,"Harvard Journal of Law & Technology",26.17
48,"Administrative Law Review",25.74
49,"Arizona Law Review",25.56
50,"Harvard Journal of Law & Public Policy",25.13
51,"Utah Law Review",25.09
52,"American University Law Review",24.70
53,"Lewis & Clark Law Review",24.57
54,"Stanford Law Review Online [online]",23.80
55,"Columbia Journal of Race and Law [online]",22.91
56,"Connecticut Law Review",22.53
57,"Maryland Law Review",22.43
58,"Washington and Lee Law Review",22.16
59,"Virginia Law Review Online [online]",21.63
60,"Journal of Corporation Law",21.07
61,"University of Pennsylvania Journal of Business Law",20.80
62,"University of Pennsylvania Law Review Online [online]",20.74
63,"Stanford Technology Law Review [online]",20.69
64,"Buffalo Law Review",20.64
65,"American Journal of International Law",20.26
66,"Yale Journal of Law & Technology [online]",19.99
67,"Wake Forest Law Review",19.73
68,"Harvard Civil Rights-Civil Liberties Law Review",19.43
69,"Duke Journal of Constitutional Law & Public Policy",19.24
70,"Stanford Journal of Civil Rights and Civil Liberties",19.04
71,"Houston Law Review",19.03
72,"SMU Law Review",18.75
73,"Arizona State Law Journal",18.33
74,"Yale Journal of Health Policy, Law, and Ethics",18.12
75,"Georgetown Law Journal Online [online]",17.79
76,"University of Colorado Law Review",17.37
77,"American Business Law Journal",17.36
78,"University of Chicago Law Review Online [online]",17.19
79,"Law and Contemporary Problems",17.15
80,"Berkeley Technology Law Journal",17.14
81,"Harvard Law & Policy Review",17.02
82,"Brooklyn Law Review",16.48
83,"Nevada Law Journal",16.23
84,"Brigham Young University Law Review",16.16
85,"Harvard International Law Journal",16.04
86,"Columbia Human Rights Law Review",15.92
87,"Stanford Journal of Law, Business & Finance",15.90
88,"Columbia Business Law Review",15.80
89,"Cato Supreme Court Review",15.70
90,"American Criminal Law Review",15.69
91,"Seton Hall Law Review",15.67
92,"Michigan Journal of Race & Law",15.28
93,"Harvard Journal on Legislation",15.22
94,"Business Lawyer",15.19
95,"Journal of Legal Analysis",15.18
96,"New York University Law Review Online [online]",14.93
97,"Fordham Urban Law Journal",14.83
98,"New York University Review of Law & Social Change",14.79
99,"Michigan State Law Review",14.46
100,"Tulane Law Review",14.18
101,"Villanova Law Review",14.15
102,"Washington University Journal of Law and Policy",14.15
103,"UCLA Law Review Discourse [online]",13.92
104,"University of Richmond Law Review",13.85
105,"Oklahoma Law Review",13.84
106,"William & Mary Bill of Rights Journal",13.79
107,"Duke Law Journal Online [online]",13.76
108,"University of Pennsylvania Journal of Constitutional Law",13.75
109,"Harvard Journal of Law & Gender",13.65
110,"California Law Review Online [online]",13.62
111,"Denver Law Review",13.61
112,"Marquette Law Review",13.57
113,"George Mason Law Review",13.56
114,"City University of New York (CUNY) Law Review",13.28
115,"DePaul Law Review",13.20
116,"Michigan Technology Law Review",13.12
117,"Yale Journal of International Law",13.08
118,"Yale Law & Policy Review",12.96
119,"Temple Law Review",12.94
120,"Minnesota Law Review Headnotes [online]",12.88
121,"Columbia Law Review Forum [online]",12.87
122,"Georgetown Journal of Law & Public Policy",12.73
123,"Northwestern University Law Review Online [online]",12.40
124,"University of Michigan Journal of Law Reform",12.39
125,"Virginia Journal of International Law",12.32
126,"Loyola Law Review",12.30
127,"Ohio State Journal of Criminal Law",12.30
128,"University of Chicago Legal Forum",12.27
129,"Penn State Law Review",12.15
130,"Georgetown Journal of Legal Ethics",12.03
131,"Journal of Law, Medicine & Ethics",11.96
132,"Columbia Journal of Law & the Arts",11.84
133,"American Bankruptcy Law Journal",11.80
134,"Jurimetrics",11.79
135,"Texas A&M Law Review",11.78
136,"Berkeley Journal of Employment and Labor Law",11.76
137,"South Carolina Law Review",11.74
138,"AJIL Unbound [online]",11.61
139,"Vanderbilt Journal of Entertainment and Technology Law",11.56
140,"New York University Journal of Legislation and Public Policy",11.53
141,"Tennessee Law Review",11.30
142,"Fordham Intellectual Property, Media & Entertainment Law Journal",11.23
143,"Pepperdine Law Review",11.15
144,"Georgetown Journal of Gender and the Law",11.13
145,"Syracuse Law Review",11.08
146,"Loyola University Chicago Law Journal",11.07
147,"Columbia Science and Technology Law Review [online]",11.02
148,"Nebraska Law Review",11.01
149,"Stanford Law & Policy Review",10.88
150,"New York University Journal of Law & Business",10.85
151,"Law & Social Inquiry",10.77
152,"Yale Journal of Law and Feminism",10.75
153,"Hofstra Law Review",10.71
154,"Clinical Law Review",10.70
155,"Saint Louis University Law Journal",10.68
156,"Michigan Journal of International Law",10.63
157,"Missouri Law Review",10.45
158,"Georgetown Immigration Law Journal",10.43
159,"Antitrust Law Journal",10.29
160,"St. John's Law Review",10.17
161,"University of Cincinnati Law Review",10.16
162,"Boston University Journal of Science & Technology Law",10.14
163,"Berkeley Business Law Journal",10.12
164,"Cleveland State Law Review",10.10
165,"Louisiana Law Review",10.07
166,"Journal of Technology Law & Policy",10.02
167,"Cornell Law Review Online [online]",10.01
168,"Annual Review of Law and Social Science",9.98
169,"Tax Law Review",9.92
170,"West Virginia Law Review",9.72
171,"University of Pennsylvania Journal of Law and Social Change",9.68
172,"Washington and Lee Law Review Online [online]",9.57
173,"Yale Journal on Regulation Bulletin [online]",9.53
174,"Connecticut Insurance Law Journal",9.50
175,"Columbia Journal of Tax Law",9.49
176,"Journal of Legal Studies",9.48
177,"San Diego Law Review",9.46
178,"Florida State University Law Review",9.41
179,"Georgia State University Law Review",9.39
180,"Texas Tech Law Review",9.27
181,"Santa Clara High Technology Law Journal",9.19
182,"Howard Law Journal",9.17
183,"Seattle University Law Review",9.16
184,"Journal of Empirical Legal Studies",9.04
185,"Michigan Law Review Online [online]",9.04
186,"Ecology Law Quarterly",9.01
187,"Vanderbilt Journal of Transnational Law",9.01
188,"Loyola of Los Angeles Law Review",8.98
189,"Chicago Journal of International Law",8.90
190,"Georgetown Journal on Poverty Law & Policy",8.85
191,"Notre Dame Law Review Reflection [online]",8.85
192,"University of Illinois Law Review Online [online]",8.84
193,"Brooklyn Journal of Corporate, Financial & Commercial Law",8.83
194,"William & Mary Business Law Review",8.81
195,"New Mexico Law Review",8.76
196,"University of St. Thomas Law Journal",8.76
197,"Texas Law Review Online Edition [online]",8.73
198,"Columbia Journal of Transnational Law",8.71
199,"UMKC Law Review",8.68
200,"University of Kansas Law Review",8.68
201,"Ohio State Technology Law Journal",8.53
202,"UC Law Constitutional Quarterly",8.52
203,"Cornell International Law Journal",8.49
204,"Duke Law & Technology Review [online]",8.38
205,"Oregon Law Review",8.35
206,"Rutgers University Law Review",8.34
207,"University of Pittsburgh Law Review",8.31
208,"Pace Law Review",8.29
209,"Northwestern Journal of Law and Social Policy [online]",8.17
210,"Vermont Law Review",8.13
211,"Northwestern Journal of Technology and Intellectual Property [online]",8.12
212,"Dickinson Law Review",8.10
213,"Virginia Tax Review",7.99
214,"Journal of International Economic Law",7.96
215,"West's Education Law Reporter",7.91
216,"Washington International Law Journal",7.90
217,"William & Mary Journal of Race, Gender, and Social Justice",7.80
218,"Tax Notes Federal",7.75
219,"Widener Law Review",7.74
220,"Kentucky Law Journal",7.73
221,"Fordham International Law Journal",7.68
222,"North Carolina Journal of Law & Technology",7.65
223,"Constitutional Commentary",7.62
224,"Columbia Journal of Gender and Law",7.52
225,"Mitchell Hamline Law Review",7.49
226,"Arkansas Law Review",7.43
227,"FIU Law Review",7.41
228,"Stetson Law Review",7.38
229,"Richmond Journal of Law and Technology [online]",7.34
230,"Chapman Law Review",7.32
231,"Annals of Health Law and Life Sciences",7.31
232,"Chicago-Kent Law Review",7.31
233,"University of Pennsylvania Journal of International Law",7.30
234,"UC Law SF Journal on Gender and Justice",7.27
235,"Cornell Journal of Law and Public Policy",7.26
236,"George Washington Law Review Arguendo [online]",7.24
237,"Southwestern Law Review",7.24
238,"University of Baltimore Law Review",7.24
239,"Family Law Quarterly",7.23
240,"Florida Tax Review",7.20
241,"Maine Law Review",7.13
242,"Harvard National Security Journal",7.11
243,"Boston University Law Review Online [online]",7.08
244,"Real Property, Trust and Estate Law Journal",7.03
245,"Cardozo Arts & Entertainment Law Journal",7.01
246,"Southern California Interdisciplinary Law Journal",7.01
247,"American University Journal of Gender, Social Policy & the Law",6.97
248,"New York University Journal of Law & Liberty",6.96
249,"American Political Science Review",6.95
250,"Theoretical Inquiries in Law",6.93
251,"Case Western Reserve Law Review",6.92
252,"Baylor Law Review",6.89
253,"New York University Annual Survey of American Law",6.86
254,"University of Miami Law Review",6.85
255,"Wyoming Law Review",6.85
256,"Cardozo Law Review De Novo [online]",6.81
257,"Cardozo Journal of Conflict Resolution",6.68
258,"Emory Law Journal Online [online]",6.65
259,"Catholic University Law Review",6.54
260,"Journal of Law & Economics",6.53
261,"European Journal of International Law",6.51
262,"Washburn Law Journal",6.47
263,"Drexel Law Review",6.43
264,"Ohio State Journal on Dispute Resolution",6.41
265,"Emory Bankruptcy Developments Journal",6.36
266,"American Journal of Law & Medicine",6.34
267,"American University Law Review Forum [online]",6.31
268,"Tax Lawyer",6.31
269,"Northeastern University Law Review",6.30
270,"Texas Review of Law and Politics",6.28
271,"Journal of Legal Education",6.23
272,"Notre Dame Journal of Law, Ethics & Public Policy",6.19
273,"Santa Clara Law Review",6.18
274,"Montana Law Review",6.14
275,"Duquesne Law Review",6.09
276,"Saint Louis University Journal of Health Law & Policy",6.05
277,"ACTEC Law Journal",6.01
278,"University of Toronto Law Journal",5.99
279,"University of the Pacific Law Review",5.98
280,"Virginia Law & Business Review",5.96
281,"German Law Journal [online]",5.81
282,"Southern California Law Review Postscript [online]",5.81
283,"Colorado Technology Law Journal",5.79
284,"First Amendment Law Review",5.76
285,"Chicago-Kent Journal of Intellectual Property [online]",5.75
286,"North Carolina Banking Institute",5.75
287,"Virginia Journal of Law & Technology [online]",5.71
288,"International Law Studies",5.69
289,"Boston College Law Review E. Supp. [online]",5.61
290,"University of Louisville Law Review",5.55
291,"Georgetown Law Technology Review [online]",5.51
292,"Fordham Journal of Corporate & Financial Law",5.46
293,"Berkeley Journal of Criminal Law [online]",5.42
294,"University of Illinois Journal of Law, Technology & Policy",5.33
295,"Journal of Tort Law [online]",5.32
296,"UC Davis Law Review Online [online]",5.32
297,"Law & Society Review",5.28
298,"Ohio State Business Law Journal",5.26
299,"UIC Law Review",5.26
300,"Leiden Journal of International Law",5.22
301,"Journal of High Technology Law [online]",5.15
302,"Michigan Journal of Gender & Law",5.15
303,"Loyola Consumer Law Review",5.14
304,"Boston College Intellectual Property and Technology Forum [online]",5.12
305,"Stanford Journal of International Law",5.10
306,"Boston University Public Interest Law Journal",5.09
307,"Journal of the Copyright Society of the U.S.A.",5.08
308,"Health Matrix: Journal of Law-Medicine",5.07
309,"Judicature",5.06
310,"St. Mary's Law Journal",5.02
311,"Emory International Law Review",5.00
312,"Texas Intellectual Property Law Journal",4.99
313,"Drake Law Review",4.97
314,"Harvard Environmental Law Review",4.97
315,"New York University Journal of Intellectual Property & Entertainment Law [online]",4.96
316,"Mississippi Law Journal",4.95
317,"North Carolina Journal of International Law",4.95
318,"American Journal of Comparative Law",4.94
319,"Ohio State Law Journal Online [online]",4.94
320,"UC Law Business Journal",4.94
321,"Washington Journal of Law, Technology & Arts [online]",4.90
322,"Albany Law Review",4.89
323,"American University Business Law Review",4.89
324,"Iowa Law Review Online [online]",4.89
325,"Indiana Law Journal Supplement [online]",4.84
326,"Gonzaga Law Review",4.82
327,"Belmont Law Review",4.80
328,"Campbell Law Review",4.75
329,"New York Law School Law Review",4.73
330,"Journal of Law and Policy",4.71
331,"Law and Human Behavior",4.64
332,"Tulsa Law Review",4.62
333,"Vanderbilt Law Review En Banc [online]",4.61
334,"Minnesota Journal of Law, Science & Technology",4.55
335,"University of San Francisco Law Review",4.55
336,"Georgetown Journal of International Law",4.54
337,"Connecticut Public Interest Law Journal",4.51
338,"Harvard Latin American Law Review",4.50
339,"Idaho Law Review",4.50
340,"Journal of Health Care Law & Policy",4.44
341,"University of Memphis Law Review",4.38
342,"Southern Illinois University Law Journal",4.35
343,"Wake Forest Journal of Law and Policy",4.34
344,"Family Court Review",4.30
345,"SMU Science and Technology Law Review",4.28
346,"Food and Drug Law Journal",4.27
347,"South Dakota Law Review",4.25
348,"William & Mary Law Review Online [online]",4.24
349,"Environmental Law Reporter",4.23
350,"Indiana Health Law Review",4.22
351,"Federal Courts Law Review",4.21
352,"Columbia Journal of Law and Social Problems",4.15
353,"Marquette Sports Law Review",4.15
354,"Case Western Reserve Journal of International Law",4.10
355,"Minnesota Journal of Law & Inequality",4.10
356,"Urban Lawyer",4.08
357,"Yale Journal of Law & the Humanities",4.08
358,"Oxford Journal of Legal Studies",4.04
359,"Santa Clara Journal of International Law",4.04
360,"University of Detroit Mercy Law Review",4.04
361,"Albany Law Journal of Science & Technology",4.02
362,"University of Toledo Law Review",4.02
363,"Touro Law Review",3.98
364,"Northern Illinois University Law Review",3.97
365,"Suffolk University Law Review",3.94
366,"ABA Journal of Labor & Employment Law",3.91
367,"Journal of Law & Education",3.90
368,"UC Davis Business Law Journal [online]",3.87
369,"Elder Law Journal",3.85
370,"Journal of Business & Technology Law",3.83
371,"Washington Law Review Online [online]",3.82
372,"Kansas Journal of Law & Public Policy",3.80
373,"Energy Law Journal",3.79
374,"American University International Law Review",3.77
375,"Law & Ethics of Human Rights",3.77
376,"Capital University Law Review",3.76
377,"Mercer Law Review",3.73
378,"Psychology, Public Policy, and Law",3.73
379,"Regent University Law Review",3.73
380,"UCLA Entertainment Law Review [online]",3.69
381,"Harvard Human Rights Journal",3.68
382,"Journal of Legislation",3.62
383,"Review of Litigation",3.62
384,"Regulation & Governance",3.59
385,"Journal of Law, Economics and Organization",3.53
386,"International and Comparative Law Quarterly",3.48
387,"Delaware Journal of Corporate Law",3.42
388,"Creighton Law Review",3.41
389,"World Trade Review",3.41
390,"Law and Psychology Review",3.35
391,"Cardozo International & Comparative Law Review",3.34
392,"Law Library Journal",3.34
393,"Modern Law Review",3.33
394,"University of Hawaii Law Review",3.33
395,"Columbia Journal of Environmental Law",3.31
396,"European Journal of Risk Regulation",3.30
397,"Wayne Law Review",3.28
398,"Human Rights Law Review",3.27
399,"Minnesota Journal of International Law",3.25
400,"University of Florida Journal of Law and Public Policy",3.23
NR,"AALL Spectrum",NR
NR,"ABA Journal",NR
NR,"Aberdeen Student Law Review",NR
NR,"Accounting, Economics, and Law: A Convivium [online]",NR
NR,"ACS Supreme Court Review [online]",NR
NR,"Acta Juridica",NR
NR,"Acta Juridica Hungarica",NR
NR,"Adelaide Law Review",NR
NR,"Advance: The Journal of the ACS Issue Groups",NR
NR,"Advocates' Quarterly",NR
NR,"African Human Rights Law Journal",NR
NR,"African Journal of International and Comparative Law",NR
NR,"African Journal of Legal Studies",NR
NR,"African Yearbook of International Law",NR
NR,"Agora International Journal of Juridical Sciences",NR
NR,"AICELS Law Review: Journal on Central European Law",NR
NR,"AILA Law Journal",NR
NR,"AIPLA Quarterly Journal",NR
NR,"Air & Space Law",NR
NR,"Air Force Law Review",NR
NR,"Akron Intellectual Property Journal",NR
NR,"Akron Law Review",NR
NR,"Alabama Civil Rights & Civil Liberties Law Review",NR
NR,"Alaska Justice Forum [online]",NR
NR,"Alaska Law Review",NR
NR,"Albany Government Law Review",NR
NR,"Alberta Law Review",NR
NR,"ALI-CLE Estate Planning Course Materials Journal",NR
NR,"Alternative Law Journal",NR
NR,"American Bankruptcy Institute Law Review",NR
NR,"American Indian Law Review",NR
NR,"American Journal of Criminal Justice",NR
NR,"American Journal of Criminal Law",NR
NR,"American Journal of Family Law",NR
NR,"American Journal of Jurisprudence",NR
NR,"American Journal of Law and Equality [online]",NR
NR,"American Journal of Legal History",NR
NR,"American Journal of Mediation",NR
NR,"American Journal of Trial Advocacy",NR
NR,"American Law and Economics Review",NR
NR,"American Review of International Arbitration",NR
NR,"American University Criminal Law Brief",NR
NR,"American University Intellectual Property Brief",NR
NR,"American University Labor & Employment Law Forum [online]",NR
NR,"Amsterdam Law Forum [online]",NR
NR,"Animal Law",NR
NR,"Annals of Air and Space Law",NR
NR,"Annual Review of Criminal Procedure",NR
NR,"Annual Survey of International and Comparative Law",NR
NR,"Antitrust",NR
NR,"Antitrust Bulletin",NR
NR,"Antitrust Source [online]",NR
NR,"Appalachian Journal of Law",NR
NR,"Appeal: Review of Current Law and Law Reform",NR
NR,"Arab Law Quarterly",NR
NR,"Arbitration International",NR
NR,"Arbitration: The International Journal of Arbitration, Mediation and Dispute Management",NR
NR,"Arctic Review on Law and Politics",NR
NR,"Arizona Journal of Environmental Law & Policy",NR
NR,"Arizona Journal of International and Comparative Law",NR
NR,"Arizona Summit Law Review",NR
NR,"Army Lawyer",NR
NR,"Art, Antiquity and Law",NR
NR,"Artificial Intelligence and Law",NR
NR,"Asia Pacific Journal of Environmental Law",NR
NR,"Asia Pacific Law Review",NR
NR,"Asian American Law Journal",NR
NR,"Asian Business Lawyer",NR
NR,"Asian International Arbitration Journal",NR
NR,"Asian Journal of Comparative Law",NR
NR,"Asian Journal of Criminology",NR
NR,"Asian Journal of International Law",NR
NR,"Asian Journal of Law and Economics [online]",NR
NR,"Asian Journal of Law and Society",NR
NR,"Asian Journal of WTO & International Health Law and Policy",NR
NR,"Asian Yearbook of International Law",NR
NR,"Asian-Pacific Law & Policy Journal [online]",NR
NR,"Asia-Pacific Journal on Human Rights and the Law",NR
NR,"Asper Review of International Business and Trade Law",NR
NR,"ATA Journal of Legal Tax Research",NR
NR,"Ateneo Law Journal",NR
NR,"Atlantic Law Journal",NR
NR,"Auckland University Law Review",NR
NR,"Australasian Dispute Resolution Journal",NR
NR,"Australasian Journal of Natural Resources Law and Policy",NR
NR,"Australia & New Zealand Law & History E-Journal [online]",NR
NR,"Australian and New Zealand Journal of Criminology",NR
NR,"Australian and New Zealand Maritime Law Journal [online]",NR
NR,"Australian Bar Review",NR
NR,"Australian Business Law Review",NR
NR,"Australian Feminist Law Journal",NR
NR,"Australian Intellectual Property Journal",NR
NR,"Australian International Law Journal",NR
NR,"Australian Journal of Administrative Law",NR
NR,"Australian Journal of Asian Law",NR
NR,"Australian Journal of Corporate Law",NR
NR,"Australian Journal of Family Law",NR
NR,"Australian Journal of Gender and Law [online]",NR
NR,"Australian Journal of Human Rights",NR
NR,"Australian Journal of Labour Law",NR
NR,"Australian Journal of Legal Philosophy",NR
NR,"Australian Law Journal",NR
NR,"Australian Property Law Journal",NR
NR,"Australian Tax Review",NR
NR,"Australian Year Book of International Law",NR
NR,"Austrian Review of International and European Law",NR
NR,"Ave Maria Law Review",NR
NR,"Baltic Journal of Law & Politics [online]",NR
NR,"Bangladesh Journal of Law",NR
NR,"Banking & Finance Law Review",NR
NR,"Banking Law Journal",NR
NR,"Bar Examiner",NR
NR,"Barry Law Review",NR
NR,"Behavioral Sciences & the Law",NR
NR,"Beijing Law Review",NR
NR,"Benefits Law Journal",NR
NR,"Berkeley Journal of African-American Law & Policy",NR
NR,"Berkeley Journal of Entertainment & Sports Law [online]",NR
NR,"Berkeley Journal of Gender, Law & Justice",NR
NR,"Berkeley Journal of International Law",NR
NR,"Berkeley Journal of Middle Eastern & Islamic Law",NR
NR,"Berkeley Latine Journal of Law & Policy",NR
NR,"Bio-Science Law Review",NR
NR,"Biotechnology Law Report",NR
NR,"Bond Law Review",NR
NR,"Boston College Environmental Affairs Law Review",NR
NR,"Boston College International and Comparative Law Review",NR
NR,"Boston College Journal of Law and Social Justice",NR
NR,"Boston University International Law Journal",NR
NR,"Bracton Law Journal",NR
